season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2017,Kanpur,10-05-2017,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,196
2017,Mumbai,11-05-2017,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,231
2017,Kanpur,13-05-2017,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,155
2017,Kolkata,13-05-2017,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,174
2017,Delhi,14-05-2017,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,162
2017,Bangalore,17-05-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,48
2017,Bangalore,19-05-2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,108
2018,Mumbai,07-04-2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,166
2018,Chandigarh,08-04-2018,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,167
2018,Kolkata,08-04-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,177
2018,Hyderabad,09-04-2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,126
2018,Chennai,10-04-2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,203
2018,Jaipur,11-04-2018,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,71
2018,Hyderabad,12-04-2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,148
2018,Bengaluru,13-04-2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,156
2018,Mumbai,14-04-2018,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,195
2018,Kolkata,14-04-2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,139
2018,Bengaluru,15-04-2018,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,218
2018,Chandigarh,15-04-2018,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,198
2018,Kolkata,16-04-2018,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,201
2018,Mumbai,17-04-2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,214
2018,Jaipur,18-04-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,161
2018,Chandigarh,19-04-2018,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Kings,194
2018,Pune,20-04-2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,205
2018,Kolkata,21-04-2018,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,125
2018,Bengaluru,21-04-2018,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,175
2018,Hyderabad,22-04-2018,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,183
2018,Jaipur,22-04-2018,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,168
2018,Delhi,23-04-2018,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,144
2018,Mumbai,24-04-2018,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,119
2018,Bengaluru,25-04-2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,206
2018,Hyderabad,26-04-2018,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,133
2018,Delhi,27-04-2018,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,220
2018,Pune,28-04-2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,170
2018,Jaipur,29-04-2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,152
2018,Bengaluru,29-04-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,176
2018,Pune,30-04-2018,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,212
2018,Bengaluru,01-05-2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,168
2018,Delhi,02-05-2018,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,151
2018,Kolkata,03-05-2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,178
2018,Indore,04-05-2018,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,175
2018,Pune,05-05-2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,128
2018,Hyderabad,05-05-2018,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,164
2018,Mumbai,06-05-2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,182
2018,Indore,06-05-2018,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Punjab Kings,153
2018,Hyderabad,07-05-2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,147
2018,Jaipur,08-05-2018,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,159
2018,Kolkata,09-05-2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,211
2018,Delhi,10-05-2018,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,188
2018,Jaipur,11-05-2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,177
2018,Indore,12-05-2018,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,246
2018,Delhi,12-05-2018,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,182
2018,Pune,13-05-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,180
2018,Mumbai,13-05-2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,169
2018,Indore,14-05-2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,89
2018,Kolkata,15-05-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,143
2018,Mumbai,16-05-2018,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,187
2018,Bengaluru,17-05-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,219
2018,Delhi,18-05-2018,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,163
2018,Jaipur,19-05-2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,165
2018,Hyderabad,19-05-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,173
2018,Delhi,20-05-2018,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Delhi Capitals,175
2018,Pune,20-05-2018,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,154
2018,Mumbai,22-05-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,140
2018,Kolkata,23-05-2018,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,170
2018,Kolkata,25-05-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,175
2018,Mumbai,27-05-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,179
2019,Chennai,23-03-2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,71
2019,Kolkata,24-03-2019,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,182
2019,Mumbai,24-03-2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,214
2019,Jaipur,25-03-2019,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,185
2019,Delhi,26-03-2019,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,148
2019,Kolkata,27-03-2019,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,219
2019,Bengaluru,28-03-2019,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,188
2019,Hyderabad,29-03-2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,199
2019,Chandigarh,30-03-2019,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,177
2019,Delhi,30-03-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,186
2019,Hyderabad,31-03-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,232
2019,Chennai,31-03-2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,176
2019,Chandigarh,01-04-2019,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,167
2019,Jaipur,02-04-2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,159
2019,Mumbai,03-04-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,171
2019,Delhi,04-04-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,130
2019,Bengaluru,05-04-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,206
2019,Chennai,06-04-2019,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,161
2019,Hyderabad,06-04-2019,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,137
2019,Bengaluru,07-04-2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,150
2019,Jaipur,07-04-2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,140
2019,Chandigarh,08-04-2019,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,151
2019,Chennai,09-04-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,109
2019,Mumbai,10-04-2019,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,198
2019,Jaipur,11-04-2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,152
2019,Kolkata,12-04-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,179
2019,Mumbai,13-04-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,188
2019,Chandigarh,13-04-2019,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,174
2019,Kolkata,14-04-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,162
2019,Hyderabad,14-04-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,156
2019,Mumbai,15-04-2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,172
2019,Chandigarh,16-04-2019,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,183
2019,Hyderabad,17-04-2019,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,133
2019,Delhi,18-04-2019,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,169
2019,Kolkata,19-04-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,214
2019,Jaipur,20-04-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,162
2019,Delhi,20-04-2019,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,164
2019,Hyderabad,21-04-2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,160
2019,Bengaluru,21-04-2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,162
2019,Jaipur,22-04-2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,192
2019,Chennai,23-04-2019,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,176
2019,Bengaluru,24-04-2019,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,203
2019,Kolkata,25-04-2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,176
2019,Chennai,26-04-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,156
2019,Jaipur,27-04-2019,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,161
2019,Delhi,28-04-2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,188
2019,Kolkata,28-04-2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,233
2019,Hyderabad,29-04-2019,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,213
2019,Chennai,01-05-2019,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,180
2019,Mumbai,02-05-2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,163
2019,Chandigarh,03-05-2019,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,184
2019,Delhi,04-05-2019,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,116
2019,Bengaluru,04-05-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,176
2019,Chandigarh,05-05-2019,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,171
2019,Mumbai,05-05-2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,134
2019,Chennai,07-05-2019,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,132
2019,Visakhapatnam,08-05-2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,163
2019,Visakhapatnam,10-05-2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,148
2019,Hyderabad,12-05-2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,150
2020/21,Abu Dhabi,19-09-2020,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,163
2020/21,Dubai,20-09-2020,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,158
2020/21,Dubai,21-09-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,164
2020/21,Dubai,22-09-2020,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,217
2020/21,Abu Dhabi,23-09-2020,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,196
2020/21,Dubai,24-09-2020,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,207
2020/21,Dubai,25-09-2020,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,176
2020/21,Abu Dhabi,26-09-2020,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,143
2020/21,Dubai,27-09-2020,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,224
2020/21,Dubai,28-09-2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,202
2020/21,Abu Dhabi,29-09-2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,163
2020/21,Dubai,30-09-2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,175
2020/21,Abu Dhabi,01-10-2020,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,192
2020/21,Dubai,02-10-2020,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,165
2020/21,Abu Dhabi,03-10-2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,155
2020/21,Dubai,03-10-2020,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,229
2020/21,Dubai,04-10-2020,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,179
2020/21,Dubai,04-10-2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,209
2020/21,Dubai,05-10-2020,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,197
2020/21,Abu Dhabi,06-10-2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,194
2020/21,Abu Dhabi,07-10-2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,168
2020/21,Dubai,08-10-2020,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,202
2020/21,Dubai,09-10-2020,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,185
2020/21,Abu Dhabi,10-10-2020,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,165
2020/21,Dubai,10-10-2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,170
2020/21,Dubai,11-10-2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,159
2020/21,Abu Dhabi,11-10-2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,163
2020/21,Dubai,12-10-2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,195
2020/21,Dubai,13-10-2020,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,168
2020/21,Dubai,14-10-2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,162
2020/21,Dubai,15-10-2020,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,172
2020/21,Abu Dhabi,16-10-2020,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,149
2020/21,Dubai,17-10-2020,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,180
2020/21,Dubai,17-10-2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,178
2020/21,Abu Dhabi,18-10-2020,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,164
2020/21,Dubai,18-10-2020,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings,177
2020/21,Abu Dhabi,19-10-2020,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,126
2020/21,Dubai,20-10-2020,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,165
2020/21,Abu Dhabi,21-10-2020,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,85
2020/21,Dubai,22-10-2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,155
2020/21,Dubai,23-10-2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,115
2020/21,Abu Dhabi,24-10-2020,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,195
2020/21,Dubai,24-10-2020,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,127
2020/21,Abu Dhabi,25-10-2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,196
2020/21,Dubai,25-10-2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,146
2020/21,Dubai,26-10-2020,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,150
2020/21,Dubai,27-10-2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,220
2020/21,Abu Dhabi,28-10-2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,165
2020/21,Dubai,29-10-2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,173
2020/21,Abu Dhabi,30-10-2020,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,186
2020/21,Dubai,31-10-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,121
2020/21,Dubai,31-10-2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,111
2020/21,Abu Dhabi,01-11-2020,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,154
2020/21,Dubai,01-11-2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,192
2020/21,Abu Dhabi,02-11-2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,153
2020/21,Dubai,03-11-2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,150
2020/21,Dubai,05-11-2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,201
2020/21,Abu Dhabi,06-11-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,132
2020/21,Abu Dhabi,08-11-2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,190
2020/21,Dubai,10-11-2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,157
2021,Chennai,09-04-2021,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,160
2021,Mumbai,10-04-2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,189
2021,Chennai,11-04-2021,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,188
2021,Mumbai,12-04-2021,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,222
2021,Chennai,13-04-2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,153
2021,Chennai,14-04-2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,150
2021,Mumbai,15-04-2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,148
2021,Mumbai,16-04-2021,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,107
2021,Chennai,17-04-2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,151
2021,Chennai,18-04-2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,205
2021,Mumbai,18-04-2021,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,196
2021,Mumbai,19-04-2021,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,189
2021,Chennai,20-04-2021,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,138
2021,Chennai,21-04-2021,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,121
2021,Mumbai,21-04-2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,221
2021,Mumbai,22-04-2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,178
2021,Chennai,23-04-2021,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,132
2021,Mumbai,24-04-2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,134
2021,Mumbai,25-04-2021,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,192
2021,Chennai,25-04-2021,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,160
2021,Ahmedabad,26-04-2021,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,124
2021,Ahmedabad,27-04-2021,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,172
2021,Delhi,28-04-2021,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,172
2021,Delhi,29-04-2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,172
2021,Ahmedabad,29-04-2021,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,155
2021,Ahmedabad,30-04-2021,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,180
2021,Delhi,01-05-2021,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,219
2021,Delhi,02-05-2021,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,221
2021,Ahmedabad,02-05-2021,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,167
2021,Dubai,19-09-2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,157
2021,Abu Dhabi,20-09-2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,93
2021,Dubai,21-09-2021,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,186
2021,Dubai,22-09-2021,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,135
2021,Abu Dhabi,23-09-2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,156
2021,Sharjah,24-09-2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,157
2021,Abu Dhabi,25-09-2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,155
