season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2011,Hyderabad,16-04-2011,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,166
2011,Kolkata,17-04-2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,82
2011,Delhi,19-04-2011,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,169
2011,Chandigarh,21-04-2011,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,196
2011,Mumbai,22-04-2011,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,165
2011,Kolkata,22-04-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,172
2011,Delhi,23-04-2011,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,232
2011,Hyderabad,24-04-2011,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,173
2011,Delhi,26-04-2011,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,161
2011,Delhi,28-04-2011,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,149
2011,Jaipur,29-04-2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,95
2011,Kolkata,30-04-2011,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,120
2011,Chennai,01-05-2011,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,166
2011,Mumbai,02-05-2011,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,160
2011,Hyderabad,03-05-2011,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,170
2011,Chennai,04-05-2011,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,148
2011,Hyderabad,05-05-2011,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,176
2011,Bangalore,06-05-2011,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,206
2011,Kolkata,07-05-2011,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,52
2011,Mumbai,07-05-2011,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,179
2011,Jaipur,09-05-2011,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,197
2011,Chandigarh,10-05-2011,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,164
2011,Jaipur,11-05-2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,147
2011,Chennai,12-05-2011,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,177
2011,Bangalore,14-05-2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,102
2011,Mumbai,14-05-2011,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,136
